data_year,pub_agency_name,state_name,county_name,offense_name,location_name,prop_desc_name,stolen_value
2012,Apopka,Florida,ORANGE,Motor Vehicle Theft,Parking/Drop Lot/Garage,Consumable Goods,92192.0
2012,Apopka,Florida,ORANGE,Motor Vehicle Theft,Parking/Drop Lot/Garage,Consumable Goods,92192.0
2012,Colleton,South Carolina,COLLETON,All Other Larceny,Parking/Drop Lot/Garage,Lawn/ Yard/ Garden Equipment,6100.0
2012,Apopka,Florida,ORANGE,Motor Vehicle Theft,Parking/Drop Lot/Garage,Consumable Goods,92192.0
2012,Apopka,Florida,ORANGE,Motor Vehicle Theft,Parking/Drop Lot/Garage,Consumable Goods,92192.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Industrial Site,Trailers,60000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Industrial Site,Trailers,60000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Industrial Site,Trailers,60000.0
2012,Jacksonville,Florida,DUVAL,Burglary/Breaking & Entering,Rental Storage Facility,Consumable Goods,20000.0
2012,Jacksonville,Florida,DUVAL,Burglary/Breaking & Entering,Rental Storage Facility,Consumable Goods,20000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Industrial Site,Trailers,26000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Industrial Site,Trailers,26000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Industrial Site,Trailers,26000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Industrial Site,Trailers,26000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Industrial Site,Trailers,26000.0
2012,Jacksonville,Florida,DUVAL,Burglary/Breaking & Entering,Rental Storage Facility,Consumable Goods,20000.0
2012,Jacksonville,Florida,DUVAL,Burglary/Breaking & Entering,Rental Storage Facility,Consumable Goods,20000.0
2012,Jacksonville,Florida,DUVAL,Burglary/Breaking & Entering,Rental Storage Facility,Consumable Goods,20000.0
2012,Greenwood,South Carolina,GREENWOOD,All Other Larceny,Commercial/Office Building,Consumable Goods,92863.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Trailers,40000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Trailers,40000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Trailers,40000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Trailers,40000.0
2012,Muskegon Heights,Michigan,MUSKEGON,Motor Vehicle Theft,Highway/Road/Alley/Street/Sidewalk,Automobile,5000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Trailers,10000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Trailers,10000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Trailers,10000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Trailers,10000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Trailers,10000.0
2012,Muskegon Heights,Michigan,MUSKEGON,Motor Vehicle Theft,Highway/Road/Alley/Street/Sidewalk,Automobile,5000.0
2012,Muskegon Heights,Michigan,MUSKEGON,Motor Vehicle Theft,Highway/Road/Alley/Street/Sidewalk,Automobile,20000.0
2012,Muskegon Heights,Michigan,MUSKEGON,Motor Vehicle Theft,Highway/Road/Alley/Street/Sidewalk,Automobile,5000.0
2012,Muskegon Heights,Michigan,MUSKEGON,Motor Vehicle Theft,Highway/Road/Alley/Street/Sidewalk,Automobile,10000.0
2012,Muskegon Heights,Michigan,MUSKEGON,Motor Vehicle Theft,Highway/Road/Alley/Street/Sidewalk,Automobile,5000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Trailers,15000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Trailers,15000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Trailers,15000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Trailers,15000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Trailers,15000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Trailers,50000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Trailers,50000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Trailers,50000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Trailers,50000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Trailers,50000.0
2012,Jacksonville,Florida,DUVAL,Burglary/Breaking & Entering,Rental Storage Facility,Merchandise,40000.0
2012,Jacksonville,Florida,DUVAL,Burglary/Breaking & Entering,Rental Storage Facility,Merchandise,40000.0
2012,Jacksonville,Florida,DUVAL,Burglary/Breaking & Entering,Rental Storage Facility,Merchandise,40000.0
2012,Jacksonville,Florida,DUVAL,Burglary/Breaking & Entering,Rental Storage Facility,Merchandise,40000.0
2012,Jacksonville,Florida,DUVAL,Burglary/Breaking & Entering,Rental Storage Facility,Merchandise,40000.0
2012,Muskegon Heights,Michigan,MUSKEGON,Motor Vehicle Theft,Highway/Road/Alley/Street/Sidewalk,Automobile,5000.0
2012,Muskegon Heights,Michigan,MUSKEGON,Motor Vehicle Theft,Highway/Road/Alley/Street/Sidewalk,Automobile,13000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Consumable Goods,80000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Consumable Goods,80000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Consumable Goods,80000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Consumable Goods,80000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Consumable Goods,80000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Consumable Goods,75000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Consumable Goods,75000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Consumable Goods,75000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Consumable Goods,75000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Consumable Goods,75000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Consumable Goods,75000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Consumable Goods,75000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Consumable Goods,75000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Consumable Goods,75000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Consumable Goods,75000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Consumable Goods,100000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Consumable Goods,100000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Consumable Goods,100000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Consumable Goods,100000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Consumable Goods,100000.0
2012,Polk,Florida,POLK,All Other Larceny,Commercial/Office Building,Trailers,15000.0
2012,Polk,Florida,POLK,All Other Larceny,Commercial/Office Building,Trailers,15000.0
2012,Polk,Florida,POLK,All Other Larceny,Commercial/Office Building,Trailers,15000.0
2012,Polk,Florida,POLK,All Other Larceny,Commercial/Office Building,Trailers,15000.0
2012,Dania Beach,Florida,BROWARD,Motor Vehicle Theft,Highway/Road/Alley/Street/Sidewalk,Trailers,7000.0
2012,Jacksonville,Florida,DUVAL,Robbery,Commercial/Office Building,Consumable Goods,10000.0
